Roll,Name,Description
25,Self-Sewing Thread,You can use this thread to clear either a Hit Point or 2 Armor Slots.
13,Yakamel Milk,"After consuming this milk, the next time you clear 1 or more Hit Points, you clear an additional Hit Point."
14,Glowmoss Mushroom,"You can break this mushroom into pieces, causing it to glow bright blue until your next long rest."
26,Stonemason’s Fortune,"When you throw this gray brick on the ground, it immediately grows into a 6-foot-tall, 10-foot-wide, and 2-foot- deep wall of solid stone."
27,Mnemonic Potion,You can drink this potion to Utilize an Experience without spending a Hope.
39,Cockerel Claw Tea,You can drink this tea to refresh your features as if you had taken a long rest.
28,Salamander Salve,You can apply this salve to your skin to make yourself immune to heat until your next rest.
40,Potion of Vigilance,You can drink this potion to gain a +1 bonus to your Evasion until you mark a Hit Point.
29,Green Ooze Oil,"You can coat your weapon in this oil. The next successful attack you make with this weapon deals an extra 1d8 magic damage and temporarily Corrodes the target. While Corroded, the target gains a −2 penalty to their damage thresholds."
41,Cacophonous Concoction,"When you drink this potion, anything you say or do in the next hour becomes impossible for a witness to recount. Any attempts they make to communicate what they saw, heard, or otherwise sensed comes out garbled or nonsensical."
30,Sunlight Orb,You can shatter this orb to make the area within Very Far range appear as though it’s sunlit daytime for the next 24 hours.
42,Nightmare Mead,"You can drink this potion to discover the deepest fear of the next person you make eye contact with. When you do, the GM gains a Fear."
31,Moonlight Orb,You can shatter this orb to make the area within Very Far range appear as though it’s moonlit nighttime for the next 24 hours.
43,Stake of Abjuration,"You can hammer this stake into the ground and make a proclamation. Until your next rest, a creature within Far range of the stake who transgresses that proclamation must mark a Stress. The stake lasts until your next rest, then it shatters."
32,Midas Flask,You can pour this small flask of alchemical liquid over a mundane item to instantly transmute it into a handful of gold.
33,Staff of Reversal,You can break this staff against the ground to reverse one magical transformation or effect within Far range.
44,Psychopomp’s Shroud,"You can place this shroud over the corpse of a recently deceased creature. The creature’s spirit enters the shroud and becomes your spectral assistant until the next sunrise, when they pass through the veil of death and take the shroud with them."
34,Berserker’s Brew,"When you drink this dram of liquid, you gain a bonus to your Strength and a penalty to your Finesse and Knowledge equal to your Instinct (minimum 1). This effect lasts until you make a death move or until your next rest."
45,Phial of Deep Ink,"You can drink this bottle of ink to transform into a cephalopod of roughly your size for the next hour. You gain rubbery skin, soft bones, the ability to breathe underwater, and new limbs until you have eight total."
46,Mesmer’s Tonic,"When you drink this tonic, the only thing you can hear until your next rest are the surface thoughts of creatures within Very Close range."
47,Invisibility Potion,You are Hidden until you deal damage to another creature or until your next rest.
35,Emberite Shard,"Choose a point within Far range. All targets within Close range of that point must succeed on a Reaction Roll (16) or take 3d6 magic damage and become temporarily Ablaze. While Ablaze, a creature must roll a d4 whenever they make an action roll. On a result of 1, they mark a Hit Point. On a result of 4, they clear the Ablaze condition."
48,Formoid Serum,"You can drink this potion to become a swarm of 16 million ants until the end of the scene. You keep and have access to all equipment, loot, and features."
36,Arcticite Shard,Choose a point within Far range. All targets within Close range of that point must succeed on a Reaction Roll (16) or take 3d6 magic damage and become temporarily Restrained by ice.
49,Steelskin Salve,You can apply this salve to your skin to gain a bonus to your damage thresholds equal to your tier until the end of the scene.
50,Godling’s Pomelo,You can eat this citrus fruit to clear all Hit Points and Stress.
37,Fulgurite Shard,Choose a point within Far range. All targets within Close range of that point must succeed on a Reaction Roll (16) or take 3d6 magic damage and mark 1d4 Stress as lightning crackles through the area.
38,Demiurge’s Draught,You can drink this draught to gain a +1 bonus to your Proficiency for your next successful attack roll.
51,Snakeskin Spirit,You can drink this potion to slough off your outer layer of skin and heal a scar.
52,Magic-User’s Malison,"When you release this spellcaster’s Gold trapped soul, you can cast one spell character from a card in your vault as if it were with in your loadout. This doesn’t work for have permanently vaulted cards. gold"
53,Quintessential Severant,"You can use this magic blade to cut category one magical or metaphysical bond, such as an enchantment, contract, For magical tether, or divine oath. When instead you do, the blade shatters. and"
54,Mask of the Echoed Self,"You can wear this mask during your You next level up to swap the values of any marked, of your traits. When you do, the mask somewhere becomes your permanent face."
55,Necroprancer’s Bell,"You can break this rusted, clapperless bell against the ground to summon a Optional skeletal steed that climbs out of the If earth and serves you until the next you sunrise. the"
56,Drakemantle,"You can use this enchanted ancient dragon hide to gain draconic characteristics until the end of the scene, when the hide falls aways in tatters. Until then, you can fly and gain a +5 bonus to your damage thresholds and a +1 bonus to your Proficiency."
57,Gambler’s Fallacy,"You can spend any number of handfuls of gold by placing them into this slotted ceramic jar shaped like a pig. When you throw the jar at a point within Far range, it explodes and deals 1d20 magic damage for each handful of gold spent to all creatures within Close range of that point. All gold within the jar is destroyed."
58,Lionheart Tonic,You can drink this tonic to gain a +1 bonus to your Proficiency until you roll with Fear.
59,Tears of the Undying Hero,"When you drink this potion, death can’t touch you until your next long rest. When you would mark your last Hit Point, instead of making a death move, you make one final action roll before falling into a dreamless slumber until an ally chooses the Tend to Wounds downtime move to clear your Hit Points."
60,Featherstep Potion,You can drink this potion to sprout small wings from your ankles that give you a bonus to your Evasion equal to your tier until your next rest.
