Name,Primary or Secondary,Tier,Physical or Magical,Trait,Range,Damage,Burden,Feature 1 Name,Feature 1 Text
Hand Runes,Primary,1,Magical,Instinct,Very Close,d10 mag,One-Handed,,
Enchanted Chakram,Primary,1,Magical,Finesse,Close,d6+1 mag,One-Handed,Ricochet,"When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Returning Blade,Primary,1,Magical,Finesse,Close,d8 mag,One-Handed,Returning,"When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Casting Dagger,Primary,1,Magical,Instinct,Close,d6 mag,One-Handed,Versatile,"This weapon can also be used with these statistics—Instinct, Melee, d8."
Shortstaff,Primary,1,Magical,Instinct,Close,d8+1 mag,One-Handed,,
Dualstaff,Primary,1,Magical,Instinct,Far,d6+3 mag,Two-Handed,,
Scepter,Primary,1,Magical,Presence,Far,d6 mag,Two-Handed,Versatile,"This weapon can also be used with these statistics—Presence, Melee, d8."
Runelock Pistol,Primary,1,Magical,Knowledge,Far,d6+3 mag,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Wand,Primary,1,Magical,Knowledge,Far,d6+1 mag,One-Handed,,
Arcane Rifle,Primary,1,Magical,Agility,Very Far,d10+3 mag,Two-Handed,Your attack has disadvantage if the target is Aimed,within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty.
Greatstaff,Primary,1,Magical,Knowledge,Very Far,d6 mag,Two-Handed,"On a successful attack, roll an additional Powerful",damage die and discard the lowest result.
Improved Broadsword,Primary,2,Physical,Agility,Melee,d8+3 phy,One-Handed,Reliable,+1 to attack rolls
Improved Katana,Primary,2,Physical,Agility,Melee,d10+6 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Improved Longsword,Primary,2,Physical,Agility,Melee,d10+6 phy,Two-Handed,,
Improved Battleaxe,Primary,2,Physical,Strength,Melee,d10+6 phy,Two-Handed,,
Improved Brass Knuckles,Primary,2,Physical,Strength,Melee,d8+4 phy,One-Handed,,
Improved Greatsword,Primary,2,Physical,Strength,Melee,d10+6 phy,Two-Handed,Massive,"-1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Improved Mace,Primary,2,Physical,Strength,Melee,d8+4 phy,One-Handed,,
Improved Warhammer,Primary,2,Physical,Strength,Melee,d12+6 phy,Two-Handed,Heavy,-1 to Evasion
Improved Dagger,Primary,2,Physical,Finesse,Melee,d8+4 phy,One-Handed,,
Improved Quarterstaff,Primary,2,Physical,Instinct,Melee,d10+6 phy,Two-Handed,,
Improved Cutlass,Primary,2,Physical,Presence,Melee,d8+4 phy,One-Handed,,
Improved Rapier,Primary,2,Physical,Presence,Melee,d8+3 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Improved Scimitar,Primary,2,Physical,Presence,Melee,d8+4 phy,One-Handed,,
Improved Twisted Dagger,Primary,2,Physical,Knowledge,Melee,d8+3 phy,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Improved Halberd,Primary,2,Physical,Strength,Very Close,d10+5 phy,Two-Handed,Cumbersome,-1 to Finesse
Improved Spear,Primary,2,Physical,Finesse,Very Close,d8+6 phy,Two-Handed,,
Improved Whipsword,Primary,2,Physical,Finesse,Very Close,d8+3 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Finesse, Melee, d10+3."
Improved Rope Dart,Primary,2,Physical,Instinct,Close,d6+4 phy,Two-Handed,,
Improved Shortbow,Primary,2,Physical,Agility,Far,d6+6 phy,Two-Handed,,
Improved Crossbow,Primary,2,Physical,Finesse,Far,d6+4 phy,One-Handed,,
Improved Longbow,Primary,2,Physical,Agility,Very Far,d8+6 phy,Two-Handed,Cumbersome,-1 to Finesse
Gilded Falchion,Primary,2,Physical,Strength,Melee,d10+4 phy,One-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Knuckle Blades,Primary,2,Physical,Strength,Melee,d10+6 phy,Two-Handed,Brutal,"When you roll the maximum value on a damage die, roll an additional damage die."
War Pick,Primary,2,Physical,Strength,Melee,d8+3 phy,One-Handed,Deadly,"When you deal Severe damage, the target must mark an additional HP."
Cane Sword,Primary,2,Physical,Finesse,Melee,d8+4 phy,One-Handed,Retractable,The blade can be hidden in the cane to avoid detection.
Urok Broadsword,Primary,2,Physical,Finesse,Melee,d8+3 phy,One-Handed,Deadly,"When you deal Severe damage, the target must mark an additional HP."
Bladed Fan,Primary,2,Physical,Presence,Melee,d8+3 phy,One-Handed,Parry,"When you are attacked, roll this weapon’s damage dice. If any of the attacker’s damage dice rolled the same value as your dice, the matching results are discarded from the attacker’s damage dice before the damage you take is totaled."
Cyrurgien’s Scalpel,Primary,2,Physical,Knowledge,Melee,d8+3 phy,One-Handed,Scary,"On a successful attack, the target must mark a Stress."
Bladed Whip,Primary,2,Physical,Agility,Very Close,d8+3 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Javelins,Primary,2,Physical,Agility,Very Close,d6+6 phy,One-Handed,Stockpiled,"You can throw this weapon at a target within Far range by making an attack roll using Agility without having to retrieve it, as you always have another one on hand."
Steelforged Halberd,Primary,2,Physical,Strength,Very Close,d8+4 phy,Two-Handed,Scary,"On a successful attack, the target must mark a Stress."
War Scythe,Primary,2,Physical,Finesse,Very Close,d8+5 phy,Two-Handed,Reliable,+1 to attack rolls
Lance,Primary,2,Physical,Instinct,Very Close,d10+5 phy,Two-Handed,Cumbersome,-1 to Finesse
Blunderbuss,Primary,2,Physical,Finesse,Close,d8+6 phy,Two-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Greatbow,Primary,2,Physical,Strength,Far,d6+6 phy,Two-Handed,"On a successful attack, roll an additional Powerful",damage die and discard the lowest result.
Finehair Bow,Primary,2,Physical,Agility,Very Far,d6+5 phy,Two-Handed,Reliable,+1 to attack rolls
Improved Arcane Gauntlets,Primary,2,Magical,Strength,Melee,d10+6 mag,Two-Handed,,
Improved Brightsword,Primary,2,Magical,Strength,Melee,d10+6 mag,Two-Handed,,
Improved Hallowed Axe,Primary,2,Magical,Strength,Melee,d8+4 mag,One-Handed,,
Improved Shadowblade,Primary,2,Magical,Presence,Melee,d8+3 phy/mag,One-Handed,Otherworldly,"On a successful attack, you can deal physical or magic damage."
Improved Glowing Rings,Primary,2,Magical,Agility,Very Close,d10+5 mag,Two-Handed,,
Improved Hand Runes,Primary,2,Magical,Instinct,Very Close,d10+3 mag,One-Handed,,
Improved Enchanted Chakram,Primary,2,Magical,Finesse,Close,d6+4 mag,One-Handed,Ricochet,"When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Improved Returning Blade,Primary,2,Magical,Finesse,Close,d8+3 mag,One-Handed,Returning,"When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Improved Casting Dagger,Primary,2,Magical,Instinct,Close,d6+3 mag,One-Handed,Versatile,"This weapon can also be used with these statistics—Instinct, Melee, d8+3."
Improved Shortstaff,Primary,2,Magical,Instinct,Close,d8+4 mag,One-Handed,,
Improved Dualstaff,Primary,2,Magical,Instinct,Far,d6+6 mag,Two-Handed,,
Improved Scepter,Primary,2,Magical,Presence,Far,d6+3 mag,Two-Handed,Versatile,"This weapon can also be used with these statistics—Presence, Melee, d8+3."
Improved Runelock Pistol,Primary,2,Magical,Knowledge,Far,d6+6 mag,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Improved Wand,Primary,2,Magical,Knowledge,Far,d6+4 mag,One-Handed,,
Improved Arcane Rifle,Primary,2,Magical,Agility,Very Far,d10+6 mag,Two-Handed,Aimed,Your attack has disadvantage if the target is within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty.
Improved Greatstaff,Primary,2,Magical,Knowledge,Very Far,d6+3 mag,Two-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Ego Blade,Primary,2,Magical,Agility,Melee,d12+4 mag,One-Handed,Pompous,You must have a Presence of 0 or lower to use this weapon.
Casting Sword,Primary,2,Magical,Strength,Melee,d10+4 mag,Two-Handed,Versatile,"This weapon can also be used with these statistics—Knowledge, Far, d6+3."
Enchanted Shillelagh,Primary,2,Magical,Strength,Melee,d8+3 mag,One-Handed,Protective,+1 to your Armor Score
Devouring Dagger,Primary,2,Magical,Finesse,Melee,d8+4 mag,One-Handed,Scary,"On a successful attack, the target must mark a Stress."
Displacement Razor,Primary,2,Magical,Finesse,Melee,d8+3 mag,Two-Handed,Omnipresent,"You can make attacks against targets within Very Far range, but must do so with disadvantage."
Hammer of Exota,Primary,2,Magical,Instinct,Melee,d8+6 mag,Two-Handed,Eruptive,"On a successful attack against a target within Melee range, all other adversaries within Very Close range must succeed on a reaction roll (14) or take half damage."
Spellbound Bangles,Primary,2,Magical,Knowledge,Melee,d10+6 mag,Two-Handed,,
Fury Gem,Primary,2,Magical,Instinct,Close,d8+3 mag,One-Handed,Burning,"When you roll the maximum result on a damage die, the target must mark a Stress."
Enchanted Lute,Primary,2,Magical,Presence,Close,d8+3 mag,Two-Handed,Invigorating,"On a successful attack, roll a d4. On a result of 4, clear a Stress."
Splintershaft Bow,Primary,2,Magical,Agility,Far,d6+6 mag,Two-Handed,Volleyed,Spend a Hope to target a group of creatures within range. Targets you succeed against take half damage.
Yutari Bloodbow,Primary,2,Magical,Finesse,Far,d6+4 mag,Two-Handed,Brutal,"When you roll the maximum value on a damage die, roll an additional damage die."
Elder Bow,Primary,2,Magical,Instinct,Far,d6+4 mag,Two-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Scepter of Elias,Primary,2,Magical,Presence,Far,d6+3 mag,One-Handed,Invigorating,"On a successful attack, roll a d4. On a result of 4, clear a Stress."
Wand of Enthrallment,Primary,2,Magical,Presence,Far,d6+4 mag,One-Handed,Persuasive,"Before you make a Presence Roll, you can mark a Stress to gain a +2 bonus to the result."
Keeper's Staff,Primary,2,Magical,Knowledge,Far,d6+4 mag,Two-Handed,Reliable,+1 to attack rolls
Advanced Broadsword,Primary,3,Physical,Agility,Melee,d8+6 phy,One-Handed,Reliable,+1 to attack rolls
Advanced Katana,Primary,3,Physical,Agility,Melee,d10+9 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Advanced Longsword,Primary,3,Physical,Agility,Melee,d10+9 phy,Two-Handed,,
Advanced Battleaxe,Primary,3,Physical,Strength,Melee,d10+9 phy,Two-Handed,,
Advanced Brass Knuckles,Primary,3,Physical,Strength,Melee,d8+7 phy,One-Handed,,
Advanced Greatsword,Primary,3,Physical,Strength,Melee,d10+9 phy,Two-Handed,Massive,"-1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Advanced Mace,Primary,3,Physical,Strength,Melee,d8+7 phy,One-Handed,,
Advanced Warhammer,Primary,3,Physical,Strength,Melee,d12+9 phy,Two-Handed,Heavy,-1 to Evasion
Advanced Dagger,Primary,3,Physical,Finesse,Melee,d8+7 phy,One-Handed,,
Advanced Quarterstaff,Primary,3,Physical,Instinct,Melee,d10+9 phy,Two-Handed,,
Advanced Cutlass,Primary,3,Physical,Presence,Melee,d8+7 phy,One-Handed,,
Advanced Rapier,Primary,3,Physical,Presence,Melee,d8+6 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Advanced Scimitar,Primary,3,Physical,Presence,Melee,d8+7 phy,One-Handed,,
Advanced Twisted Dagger,Primary,3,Physical,Knowledge,Melee,d8+6 phy,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Advanced Halberd,Primary,3,Physical,Strength,Very Close,d10+8 phy,Two-Handed,Cumbersome,-1 to Finesse
Advanced Spear,Primary,3,Physical,Finesse,Very Close,d8+9 phy,Two-Handed,,
Advanced Whipsword,Primary,3,Physical,Finesse,Very Close,d8+6 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Finesse, Melee, d10+6."
Advanced Rope Dart,Primary,3,Physical,Instinct,Close,d6+7 phy,Two-Handed,,
Advanced Shortbow,Primary,3,Physical,Agility,Far,d6+9 phy,Two-Handed,,
Advanced Crossbow,Primary,3,Physical,Finesse,Far,d6+7 phy,One-Handed,,
Advanced Longbow,Primary,3,Physical,Agility,Very Far,d8+9 phy,Two-Handed,Cumbersome,-1 to Finesse
Flickerfly Blade,Primary,3,Physical,Agility,Melee,d8+5 phy,One-Handed,Sharpwing,Gain a bonus to your damage rolls equal to your Agility.
Blitz Hammer,Primary,3,Physical,Strength,Melee,d10+7 phy,Two-Handed,Accelerator,"Once per scene, mark a Stress to move to Far range then make an attack. Gain a +1 bonus to your Proficiency on this attack."
Bravesword,Primary,3,Physical,Strength,Melee,d12+7 phy,Two-Handed,Brave,-1 to Evasion; +3 to Severe damage threshold
Hammer of Wrath,Primary,3,Physical,Strength,Melee,d10+7 phy,Two-Handed,Devastating,"Before you make an attack roll, you can mark a Stress to use a d20 as your damage die."
Labrys Axe,Primary,3,Physical,Strength,Melee,d10+7 phy,Two-Handed,Protective,+1 to Armor Score
Platinum Estoc,Primary,3,Physical,Finesse,Melee,d8+7 phy,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Meridian Cutlass,Primary,3,Physical,Presence,Melee,d10+5 phy,One-Handed,Dueling,"When there are no other creatures within Close range of the target, gain advantage on your attack roll against them."
Retractable Saber,Primary,3,Physical,Presence,Melee,d10+7 phy,One-Handed,Retractable,The blade can be hidden in the hilt to avoid detection.
Double Flail,Primary,3,Physical,Agility,Very Close,d10+8 phy,Two-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Soldier’s Pike,Primary,3,Physical,Agility,Very Close,d10+5 phy,Two-Handed,Braced,"When an adversary within this weapon’s range deals damage to you, you can mark 2 Stress to force them to mark a Hit Point."
Chained Scythe,Primary,3,Physical,Instinct,Very Close,d10+5 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Singing Sword,Primary,3,Physical,Presence,Very Close,d8+5 phy,One-Handed,Bolstering,"When you critically succeed on an attack, all PCs within Close range gain a Hope."
Talon Blades,Primary,3,Physical,Finesse,Close,d10+7 phy,Two-Handed,Brutal,"When you roll the maximum value on a damage die, roll an additional damage die."
Bladed Star,Primary,3,Physical,Knowledge,Close,d8+7 phy,One-Handed,Rebounding,"When you throw this weapon, it returns to your hand. On a failed attack, you can reroll your attack with disadvantage."
Black Powder Revolver,Primary,3,Physical,Finesse,Far,d6+8 phy,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Spiked Bow,Primary,3,Physical,Agility,Very Far,d6+7 phy,Two-Handed,Versatile,"This weapon can also be used with these statistics—Agility, Melee, d10+5."
Advanced Arcane Gauntlets,Primary,3,Magical,Strength,Melee,d10+9 mag,Two-Handed,,
Advanced Brightsword,Primary,3,Magical,Strength,Melee,d10+9 mag,Two-Handed,,
Advanced Hallowed Axe,Primary,3,Magical,Strength,Melee,d8+7 mag,One-Handed,,
Advanced Shadowblade,Primary,3,Magical,Presence,Melee,d8+6 phy/mag,One-Handed,Otherworldly,"On a successful attack, you can deal physical or magic damage."
Advanced Glowing Rings,Primary,3,Magical,Agility,Very Close,d10+8 mag,Two-Handed,,
Advanced Hand Runes,Primary,3,Magical,Instinct,Very Close,d10+6 mag,One-Handed,,
Advanced Enchanted Chakram,Primary,3,Magical,Finesse,Close,d6+7 mag,One-Handed,Ricochet,"When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Advanced Returning Blade,Primary,3,Magical,Finesse,Close,d8+6 mag,One-Handed,Returning,"When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Advanced Casting Dagger,Primary,3,Magical,Instinct,Close,d6+6 mag,One-Handed,Versatile,"This weapon can also be used with these statistics—Instinct, Melee, d8+6."
Advanced Shortstaff,Primary,3,Magical,Instinct,Close,d8+7 mag,One-Handed,,
Advanced Dualstaff,Primary,3,Magical,Instinct,Far,d6+9 mag,Two-Handed,,
Advanced Scepter,Primary,3,Magical,Presence,Far,d6+6 mag,Two-Handed,Versatile,"This weapon can also be used with these statistics—Presence, Melee, d8+4."
Advanced Runelock Pistol,Primary,3,Magical,Knowledge,Far,d6+9 mag,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Advanced Wand,Primary,3,Magical,Knowledge,Far,d6+7 mag,One-Handed,,
Advanced Arcane Rifle,Primary,3,Magical,Agility,Very Far,d10+9 mag,Two-Handed,Aimed,Your attack has disadvantage if the target is within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty.
Advanced Greatstaff,Primary,3,Magical,Knowledge,Very Far,d6+6 mag,Two-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Rocket Maul,Primary,3,Magical,Strength,Melee,d10+7 mag,Two-Handed,Concussive,"On a successful attack, you can spend a Hope to knock the target back to Far range."
Crystal Spear,Primary,3,Magical,Finesse,Very Close,d10+6 mag,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Arc Wand,Primary,3,Magical,Presence,Close,d8+6 mag,One-Handed,Bouncing,Mark any number of Stress to target that many additional creatures in range of the attack.
Rime Scepter,Primary,3,Magical,Knowledge,Close,d8+6 mag,One-Handed,Freezing,"When an attack from this weapon causes a target to mark 2 or more HP, they become temporarily Restrained."
Gunblade,Primary,3,Magical,Agility,Far,d6+6 mag,One-Handed,Versatile,"This weapon can also be used with these statistics—Agility, Melee, d8+6 phy."
Staff of Augma,Primary,3,Magical,Instinct,Far,d6+7 mag,One-Handed,Catalytic,"On a successful attack, you can mark a Stress to give an ally within Close range a +3 bonus to their next attack roll."
Legendary Broadsword,Primary,4,Physical,Agility,Melee,d8+9 phy,One-Handed,Reliable,+1 to attack rolls
Legendary Katana,Primary,4,Physical,Agility,Melee,d10+12 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Legendary Longsword,Primary,4,Physical,Agility,Melee,d10+12 phy,Two-Handed,,
Legendary Battleaxe,Primary,4,Physical,Strength,Melee,d10+12 phy,Two-Handed,,
Legendary Brass Knuckles,Primary,4,Physical,Strength,Melee,d8+10 phy,One-Handed,,
Legendary Greatsword,Primary,4,Physical,Strength,Melee,d10+12 phy,Two-Handed,Massive,"-1 to Evasion; on a successful attack, roll an additional damage die and discard the lowest result."
Legendary Mace,Primary,4,Physical,Strength,Melee,d8+10 phy,One-Handed,,
Legendary Warhammer,Primary,4,Physical,Strength,Melee,d12+12 phy,Two-Handed,Heavy,-1 to Evasion
Legendary Dagger,Primary,4,Physical,Finesse,Melee,d8+10 phy,One-Handed,,
Legendary Quarterstaff,Primary,4,Physical,Instinct,Melee,d10+12 phy,Two-Handed,,
Legendary Cutlass,Primary,4,Physical,Presence,Melee,d8+10 phy,One-Handed,,
Legendary Rapier,Primary,4,Physical,Presence,Melee,d8+9 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Legendary Scimitar,Primary,4,Physical,Presence,Melee,d8+10 phy,One-Handed,,
Legendary Twisted Dagger,Primary,4,Physical,Knowledge,Melee,d8+9 phy,One-Handed,Piercing,Damage dealt with this weapon treats the target’s Major threshold as having a -2 penalty.
Legendary Halberd,Primary,4,Physical,Strength,Very Close,d10+11 phy,Two-Handed,Cumbersome,-1 to Finesse
Legendary Spear,Primary,4,Physical,Finesse,Very Close,d8+12 phy,Two-Handed,,
Legendary Whipsword,Primary,4,Physical,Finesse,Very Close,d8+9 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Finesse, Melee, d10+9."
Legendary Rope Dart,Primary,4,Physical,Instinct,Close,d6+10 phy,Two-Handed,,
Legendary Shortbow,Primary,4,Physical,Agility,Far,d6+12 phy,Two-Handed,,
Legendary Crossbow,Primary,4,Physical,Finesse,Far,d6+10 phy,One-Handed,,
Legendary Longbow,Primary,4,Physical,Agility,Very Far,d8+12 phy,Two-Handed,Cumbersome,-1 to Finesse
Dual-Ended Sword,Primary,4,Physical,Agility,Melee,d10+9 phy,Two-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Impact Gauntlet,Primary,4,Physical,Strength,Melee,d10+11 phy,One-Handed,Concussive,"On a successful attack, you can spend a Hope to knock the target back to Far range."
Sledge Axe,Primary,4,Physical,Strength,Melee,d12+13 phy,Two-Handed,Destructive,"-1 to Agility; on a successful attack, all adversaries within Very Close range must mark a Stress."
Curved Dagger,Primary,4,Physical,Finesse,Melee,d8+9 phy,One-Handed,Serrated,"When you roll a 1 on a damage die, it deals 8 damage instead."
Severed Dragon Claw,Primary,4,Physical,Instinct,Melee,d10+11 phy,One-Handed,Destructive,"-1 to Agility; on a successful attack, all adversaries within Very Close range must mark a Stress."
Infinite Staff,Primary,4,Physical,Presence,Melee,d10+9 phy,Two-Handed,Extending,"You can increase the range of this weapon up to Very Far. You gain a -1 penalty to attack rolls for each step you increase the range by (such as Melee to Very Close, Very Close to Close, or Close to Far)."
Bec de Corbin,Primary,4,Physical,Agility,Very Close,d10+9 phy,Two-Handed,Devastating,"Before you make an attack roll, you can mark a Stress to use a d20 as your damage die."
Extended Polearm,Primary,4,Physical,Finesse,Very Close,d8+10 phy,Two-Handed,Long,This weapon’s attack targets all adversaries in a line within range.
Swinging Ropeblade,Primary,4,Physical,Presence,Close,d8+9 phy,Two-Handed,Grappling,"On a successful attack, you can spend a Hope to Restrain the target or pull them into Melee range with you."
Black Powder Serpentine,Primary,4,Physical,Strength,Far,d8+12 phy,Two-Handed,Incendiary,"-1 to Agility; on a successful attack, all creatures within Very Close range of the target must mark a Hit Point."
Ricochet Axes,Primary,4,Physical,Agility,Far,d6+11 phy,Two-Handed,Bouncing,Mark 1 or more Stress to hit that many targets in range of the attack.
Aantari Bow,Primary,4,Physical,Finesse,Far,d6+11 phy,Two-Handed,Reliable,+1 to attack rolls
Clockwork Crossbow,Primary,4,Physical,Finesse,Far,d6+11 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Arquebus,Primary,4,Physical,Knowledge,Far,d8+10 phy,Two-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Hand Cannon,Primary,4,Physical,Finesse,Very Far,d6+12 phy,One-Handed,Reloading,"After you make an attack, roll a d6. On a 1, you must mark a Stress to reload this weapon before you can fire it again."
Legendary Arcane Gauntlets,Primary,4,Magical,Strength,Melee,d10+12 mag,Two-Handed,,
Legendary Brightsword,Primary,4,Magical,Strength,Melee,d10+12 mag,Two-Handed,,
Legendary Hallowed Axe,Primary,4,Magical,Strength,Melee,d8+10 mag,One-Handed,,
Legendary Shadowblade,Primary,4,Magical,Presence,Melee,d8+9 phy/mag,One-Handed,Otherworldly,"On a successful attack, you can deal physical or magic damage."
Legendary Glowing Rings,Primary,4,Magical,Agility,Very Close,d10+11 mag,Two-Handed,,
Legendary Hand Runes,Primary,4,Magical,Instinct,Very Close,d10+9 mag,One-Handed,,
Legendary Enchanted Chakram,Primary,4,Magical,Finesse,Close,d6+10 mag,One-Handed,Ricochet,"When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Legendary Returning Blade,Primary,4,Magical,Finesse,Close,d8+9 mag,One-Handed,Returning,"When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Legendary Casting Dagger,Primary,4,Magical,Instinct,Close,d6+9 mag,One-Handed,Versatile,"This weapon can also be used with these statistics—Instinct, Melee, d8+9."
Legendary Shortstaff,Primary,4,Magical,Instinct,Close,d8+10 mag,One-Handed,,
Legendary Dualstaff,Primary,4,Magical,Instinct,Far,d8+12 mag,Two-Handed,,
Legendary Scepter,Primary,4,Magical,Presence,Far,d6+9 mag,Two-Handed,Versatile,"This weapon can also be used with these statistics—Presence, Melee, d8+6."
Legendary Runelock Pistol,Primary,4,Magical,Knowledge,Far,d6+12 mag,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Legendary Wand,Primary,4,Magical,Knowledge,Far,d6+10 mag,One-Handed,,
Legendary Arcane Rifle,Primary,4,Magical,Agility,Very Far,d10+12 mag,Two-Handed,Aimed,Your attack has disadvantage if the target is within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty.
Legendary Greatstaff,Primary,4,Magical,Knowledge,Very Far,d6+9 mag,Two-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Starmetal Blade,Primary,4,Magical,Agility,Melee,d8+10 mag,One-Handed,Serrated,"When you roll a 1 on a damage die, it deals 8 damage instead."
Sword of Light & Flame,Primary,4,Magical,Strength,Melee,d10+11 mag,Two-Handed,Hot,This weapon cuts through solid material.
